what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.workbench.texteditor",1269536141245
started,bundle,org.eclipse.update.configurator,3.3.0.v20090312,"org.eclipse.update.configurator",1269536141245
started,bundle,org.eclipse.update.core,3.2.300.v20090525,"org.eclipse.update.core",1269536141245
started,bundle,org.eclipse.update.scheduler,3.2.200.v20081127,"org.eclipse.update.scheduler",1269536141245
os,sysinfo,,,"win32",1269536141245
arch,sysinfo,,,"x86",1269536141245
ws,sysinfo,,,"win32",1269536141245
locale,sysinfo,,,"fr_FR",1269536141245
processors,sysinfo,,,"2",1269536141245
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1269536141245
java.runtime.version,sysinfo,,,"1.6.0_14-b08",1269536141245
java.specification.name,sysinfo,,,"Java Platform API Specification",1269536141245
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1269536141245
java.specification.version,sysinfo,,,"1.6",1269536141245
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1269536141245
java.version,sysinfo,,,"1.6.0_14",1269536141245
java.vm.info,sysinfo,,,"mixed mode, sharing",1269536141245
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1269536141245
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1269536141245
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1269536141245
java.vm.specification.version,sysinfo,,,"1.0",1269536141245
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1269536141245
java.vm.version,sysinfo,,,"14.0-b16",1269536141245
started,bundle,org.eclipse.jdt.debug,3.5.0.v20090526,"org.eclipse.jdt.debug",1269536146180
started,bundle,org.eclipse.debug.ui,3.5.0.v20090603,"org.eclipse.debug.ui",1269536146242
